age,year,cohort,sex,health,happy
20,1982,1962,2,4,3
20,1982,1962,2,4,4
44,1982,1938,1,4,3
32,1982,1950,2,4,3
64,1982,1918,2,4,3
51,1982,1931,1,4,2
55,1982,1927,2,4,3
18,1982,1964,2,5,1
32,1982,1950,1,3,3
54,1982,1928,2,3,3
62,1982,1920,2,4,4
27,1982,1955,1,4,4
24,1982,1958,1,5,4
48,1982,1934,2,3,2
37,1982,1945,1,5,3
34,1982,1948,1,4,2
52,1982,1930,1,5,4
48,1982,1934,1,4,4
22,1982,1960,2,4,2
66,1982,1916,1,4,3
63,1982,1919,2,2,2
71,1982,1911,2,5,3
44,1982,1938,1,2,2
56,1982,1926,2,4,3
56,1982,1926,2,1,4
34,1982,1948,2,5,3
56,1982,1926,1,5,3
44,1982,1938,1,2,2
26,1982,1956,1,4,3
23,1982,1959,2,4,3
41,1982,1941,2,3,3
39,1982,1943,2,4,3
35,1982,1947,2,4,4
24,1982,1958,2,5,3
18,1982,1964,1,4,4
18,1982,1964,1,4,3
65,1982,1917,1,4,3
51,1982,1931,2,2,2
33,1982,1949,2,4,3
67,1982,1915,2,4,4
39,1982,1943,2,4,4
48,1982,1934,1,4,4
28,1982,1954,1,4,3
19,1982,1963,2,4,3
21,1982,1961,1,4,3
23,1982,1959,2,5,3
23,1982,1959,2,4,3
50,1982,1932,1,4,2
30,1982,1952,2,5,3
65,1982,1917,1,2,2
22,1982,1960,2,4,3
22,1982,1960,2,4,3
82,1982,1900,2,3,3
75,1982,1907,1,3,3
23,1982,1959,1,4,3
62,1982,1920,2,5,4
34,1982,1948,1,4,4
78,1982,1904,2,3,4
65,1982,1917,2,4,3
70,1982,1912,2,3,2
78,1982,1904,2,4,3
21,1982,1961,1,5,3
23,1982,1959,2,4,3
18,1982,1964,1,5,4
40,1982,1942,2,5,3
31,1982,1951,1,4,3
18,1982,1964,2,4,4
29,1982,1953,1,4,4
44,1982,1938,2,4,4
55,1982,1927,2,4,3
33,1982,1949,2,4,4
39,1982,1943,2,5,4
60,1982,1922,2,5,4
38,1982,1944,1,5,3
65,1982,1917,2,4,3
80,1982,1902,1,5,3
19,1982,1963,1,4,3
18,1982,1964,1,5,2
62,1982,1920,1,4,3
83,1982,1899,2,3,2
41,1982,1941,2,3,3
62,1982,1920,1,2,2
22,1982,1960,2,5,3
18,1982,1964,1,4,3
20,1982,1962,2,4,4
37,1982,1945,2,5,4
27,1982,1955,2,5,4
21,1982,1961,2,5,3
49,1982,1933,1,4,3
33,1982,1949,1,4,3
37,1982,1945,1,4,4
21,1982,1961,2,4,2
66,1982,1916,2,2,2
65,1982,1917,2,4,4
33,1982,1949,1,3,1
32,1982,1950,1,4,3
56,1982,1926,2,4,3
61,1982,1921,2,4,4
43,1982,1939,1,5,4
48,1982,1934,2,5,3
27,1982,1955,1,5,3
53,1982,1929,2,3,4
68,1982,1914,1,4,3
57,1982,1925,2,3,3
75,1982,1907,2,3,3
78,1982,1904,2,2,3
60,1982,1922,2,5,3
28,1982,1954,1,5,3
61,1982,1921,2,3,3
19,1982,1963,2,4,4
29,1982,1953,2,3,3
46,1982,1936,1,4,3
39,1982,1943,2,4,3
67,1982,1915,1,5,4
34,1982,1948,2,5,3
23,1982,1959,2,5,3
60,1982,1922,2,4,3
24,1982,1958,2,5,3
58,1982,1924,1,4,3
45,1982,1937,2,4,3
36,1982,1946,2,5,2
46,1982,1936,2,5,4
52,1982,1930,2,4,3
34,1982,1948,1,4,4
78,1982,1904,1,3,3
35,1982,1947,2,4,4
66,1982,1916,2,4,3
22,1982,1960,1,4,3
22,1982,1960,1,5,3
29,1982,1953,1,5,3
31,1982,1951,2,5,3
77,1982,1905,2,3,3
34,1982,1948,2,3,3
41,1982,1941,1,4,4
35,1982,1947,2,4,4
50,1982,1932,1,4,4
68,1982,1914,2,5,3
67,1982,1915,1,3,3
26,1982,1956,2,4,4
48,1982,1934,1,4,4
43,1982,1939,2,4,3
40,1982,1942,2,5,4
82,1982,1900,2,2,2
21,1982,1961,2,4,3
20,1982,1962,2,5,4
36,1982,1946,2,4,3
71,1982,1911,1,1,4
18,1982,1964,1,5,3
53,1982,1929,1,3,3
19,1982,1963,1,4,3
74,1982,1908,2,3,1
57,1982,1925,2,4,3
61,1982,1921,1,3,3
45,1982,1937,2,5,3
45,1982,1937,1,4,4
39,1982,1943,2,5,3
24,1982,1958,2,4,3
80,1982,1902,2,2,3
60,1982,1922,2,5,4
75,1982,1907,2,5,2
66,1982,1916,1,5,4
33,1982,1949,2,4,3
55,1982,1927,2,3,3
24,1982,1958,2,5,4
43,1982,1939,2,3,3
45,1982,1937,2,3,3
57,1982,1925,2,4,3
27,1982,1955,2,4,3
56,1982,1926,1,4,3
19,1982,1963,2,4,4
37,1982,1945,1,4,3
52,1982,1930,1,4,3
30,1982,1952,2,4,3
23,1982,1959,2,5,4
57,1982,1925,1,4,3
53,1982,1929,2,5,3
75,1982,1907,2,3,3
69,1982,1913,1,4,4
39,1982,1943,1,5,4
60,1982,1922,2,4,3
56,1982,1926,2,5,4
37,1982,1945,1,5,4
18,1982,1964,2,4,3
39,1982,1943,2,4,3
61,1982,1921,1,2,4
