A009,A008,S020,X002,X003,X001,X051,E033,B008,S012,S003,COW_NUM,A165,A170,A173,X002_02,X002_02A,X002_02B,X002_03,X003R,X003R2,country_code,age,sex,cohort,health,happy,year
2,2,1982,1921,61,1,-4,10,-4,-4,840,2,2,8,10,-4,-4,-4,-4,5,3,840,61,1,1921,4,3,1982
1,1,1982,1952,30,2,-4,9,-4,-4,840,2,2,10,10,-4,-4,-4,-4,2,2,840,30,2,1952,5,4,1982
2,2,1982,1956,26,1,-4,3,-4,-4,840,2,2,10,10,-4,-4,-4,-4,2,1,840,26,1,1956,4,3,1982
5,2,1982,1926,56,1,-4,-1,-4,-4,840,2,1,5,8,-4,-4,-4,-4,5,3,840,56,1,1926,1,3,1982
1,2,1982,1961,21,1,-4,3,-4,-4,840,2,1,7,8,-4,-4,-4,-4,1,1,840,21,1,1961,5,3,1982
3,3,1982,1961,21,2,-4,-1,-4,-4,840,2,2,4,6,-4,-4,-4,-4,1,1,840,21,2,1961,3,2,1982
3,3,1982,1950,32,2,-4,8,-4,-4,840,2,2,10,5,-4,-4,-4,-4,2,2,840,32,2,1950,3,2,1982
3,2,1982,1923,59,2,-4,10,-4,-4,840,2,2,10,10,-4,-4,-4,-4,5,3,840,59,2,1923,3,3,1982
3,2,1982,1934,48,2,-4,5,-4,-4,840,2,2,10,10,-4,-4,-4,-4,4,2,840,48,2,1934,3,3,1982
2,2,1982,1952,30,2,-4,6,-4,-4,840,2,2,7,7,-4,-4,-4,-4,2,2,840,30,2,1952,4,3,1982
3,2,1982,1927,55,2,-4,8,-4,-4,840,2,2,10,7,-4,-4,-4,-4,5,3,840,55,2,1927,3,3,1982
3,2,1982,1922,60,1,-4,1,-4,-4,840,2,2,5,1,-4,-4,-4,-4,5,3,840,60,1,1922,3,3,1982
2,2,1982,1912,70,1,-4,5,-4,-4,840,2,2,10,7,-4,-4,-4,-4,6,3,840,70,1,1912,4,3,1982
1,1,1982,1963,19,1,-4,5,-4,-4,840,2,-1,8,7,-4,-4,-4,-4,1,1,840,19,1,1963,5,4,1982
3,2,1982,1932,50,1,-4,-1,-4,-4,840,2,-1,9,8,-4,-4,-4,-4,4,3,840,50,1,1932,3,3,1982
1,2,1982,1942,40,2,-4,7,-4,-4,840,2,1,10,10,-4,-4,-4,-4,3,2,840,40,2,1942,5,3,1982
1,2,1982,1956,26,2,-4,9,-4,-4,840,2,1,7,9,-4,-4,-4,-4,2,1,840,26,2,1956,5,3,1982
4,3,1982,1909,73,2,-4,-1,-4,-4,840,2,2,2,2,-4,-4,-4,-4,6,3,840,73,2,1909,2,2,1982
2,2,1982,1929,53,2,-4,6,-4,-4,840,2,2,10,9,-4,-4,-4,-4,4,3,840,53,2,1929,4,3,1982
1,2,1982,1961,21,2,-4,6,-4,-4,840,2,1,6,6,-4,-4,-4,-4,1,1,840,21,2,1961,5,3,1982
1,1,1982,1962,20,1,-4,-1,-4,-4,840,2,2,10,6,-4,-4,-4,-4,1,1,840,20,1,1962,5,4,1982
2,2,1982,1955,27,1,-4,1,-4,-4,840,2,1,10,10,-4,-4,-4,-4,2,1,840,27,1,1955,4,3,1982
3,2,1982,1953,29,2,-4,-1,-4,-4,840,2,2,7,6,-4,-4,-4,-4,2,1,840,29,2,1953,3,3,1982
2,4,1982,1922,60,2,-4,8,-4,-4,840,2,2,8,10,-4,-4,-4,-4,5,3,840,60,2,1922,4,1,1982
4,2,1982,1945,37,1,-4,-1,-4,-4,840,2,1,8,8,-4,-4,-4,-4,3,2,840,37,1,1945,2,3,1982
1,2,1982,1961,21,1,-4,5,-4,-4,840,2,2,7,8,-4,-4,-4,-4,1,1,840,21,1,1961,5,3,1982
1,2,1982,1960,22,2,-4,8,-4,-4,840,2,2,9,10,-4,-4,-4,-4,1,1,840,22,2,1960,5,3,1982
1,2,1982,1959,23,2,-4,6,-4,-4,840,2,1,10,10,-4,-4,-4,-4,1,1,840,23,2,1959,5,3,1982
2,4,1982,1962,20,2,-4,6,-4,-4,840,2,2,4,6,-4,-4,-4,-4,1,1,840,20,2,1962,4,1,1982
2,2,1982,1934,48,2,-4,6,-4,-4,840,2,1,9,9,-4,-4,-4,-4,4,2,840,48,2,1934,4,3,1982
2,2,1982,1942,40,1,-4,6,-4,-4,840,2,2,9,9,-4,-4,-4,-4,3,2,840,40,1,1942,4,3,1982
2,1,1982,1928,54,1,-4,3,-4,-4,840,2,-1,6,3,-4,-4,-4,-4,4,3,840,54,1,1928,4,4,1982
3,2,1982,1954,28,2,-4,5,-4,-4,840,2,2,8,7,-4,-4,-4,-4,2,1,840,28,2,1954,3,3,1982
1,1,1982,1945,37,2,-4,6,-4,-4,840,2,2,10,8,-4,-4,-4,-4,3,2,840,37,2,1945,5,4,1982
2,2,1982,1955,27,2,-4,-1,-4,-4,840,2,2,8,9,-4,-4,-4,-4,2,1,840,27,2,1955,4,3,1982
3,3,1982,1947,35,2,-4,-1,-4,-4,840,2,2,4,1,-4,-4,-4,-4,3,2,840,35,2,1947,3,2,1982
3,2,1982,1942,40,1,-4,5,-4,-4,840,2,-1,-1,5,-4,-4,-4,-4,3,2,840,40,1,1942,3,3,1982
4,2,1982,1932,50,2,-4,10,-4,-4,840,2,2,8,6,-4,-4,-4,-4,4,3,840,50,2,1932,2,3,1982
4,2,1982,1962,20,2,-4,-1,-4,-4,840,2,2,7,5,-4,-4,-4,-4,1,1,840,20,2,1962,2,3,1982
2,1,1982,1958,24,2,-4,-1,-4,-4,840,2,2,9,8,-4,-4,-4,-4,1,1,840,24,2,1958,4,4,1982
3,4,1982,1911,71,2,-4,8,-4,-4,840,2,2,9,9,-4,-4,-4,-4,6,3,840,71,2,1911,3,1,1982
3,3,1982,1929,53,1,-4,10,-4,-4,840,2,2,6,7,-4,-4,-4,-4,4,3,840,53,1,1929,3,2,1982
1,1,1982,1963,19,1,-4,4,-4,-4,840,2,1,8,10,-4,-4,-4,-4,1,1,840,19,1,1963,5,4,1982
2,2,1982,1956,26,1,-4,2,-4,-4,840,2,2,5,7,-4,-4,-4,-4,2,1,840,26,1,1956,4,3,1982
2,2,1982,1955,27,1,-4,-1,-4,-4,840,2,1,8,4,-4,-4,-4,-4,2,1,840,27,1,1955,4,3,1982
2,2,1982,1956,26,1,-4,5,-4,-4,840,2,2,5,6,-4,-4,-4,-4,2,1,840,26,1,1956,4,3,1982
1,1,1982,1949,33,1,-4,10,-4,-4,840,2,1,9,9,-4,-4,-4,-4,2,2,840,33,1,1949,5,4,1982
2,2,1982,1947,35,1,-4,10,-4,-4,840,2,2,10,10,-4,-4,-4,-4,3,2,840,35,1,1947,4,3,1982
3,1,1982,1915,67,2,-4,10,-4,-4,840,2,2,10,10,-4,-4,-4,-4,6,3,840,67,2,1915,3,4,1982
3,1,1982,1921,61,1,-4,5,-4,-4,840,2,2,9,8,-4,-4,-4,-4,5,3,840,61,1,1921,3,4,1982
2,2,1982,1922,60,1,-4,5,-4,-4,840,2,1,6,9,-4,-4,-4,-4,5,3,840,60,1,1922,4,3,1982
1,1,1982,1953,29,1,-4,10,-4,-4,840,2,2,10,10,-4,-4,-4,-4,2,1,840,29,1,1953,5,4,1982
1,2,1982,1923,59,1,-4,6,-4,-4,840,2,1,8,9,-4,-4,-4,-4,5,3,840,59,1,1923,5,3,1982
2,2,1982,1955,27,2,-4,10,-4,-4,840,2,2,10,5,-4,-4,-4,-4,2,1,840,27,2,1955,4,3,1982
2,2,1982,1957,25,2,-4,-1,-4,-4,840,2,2,8,5,-4,-4,-4,-4,2,1,840,25,2,1957,4,3,1982
2,2,1982,1932,50,1,-4,7,-4,-4,840,2,2,8,9,-4,-4,-4,-4,4,3,840,50,1,1932,4,3,1982
3,2,1982,1923,59,1,-4,7,-4,-4,840,2,2,9,6,-4,-4,-4,-4,5,3,840,59,1,1923,3,3,1982
4,2,1982,1922,60,2,-4,-1,-4,-4,840,2,2,4,5,-4,-4,-4,-4,5,3,840,60,2,1922,2,3,1982
2,1,1982,1964,18,1,-4,-1,-4,-4,840,2,2,8,9,-4,-4,-4,-4,1,1,840,18,1,1964,4,4,1982
