year,trust,sex,age,partyid,wrkstat,happy,degree,realinc,health,life,satfin,polviews,educ
1972,1,1,34,2,1,1,1,43994,1,NA,1,NA,15
1972,2,2,25,2,7,2,1,30458,3,NA,1,NA,12
1972,1,1,28,5,1,1,0,24366,2,NA,2,NA,9
1972,2,1,41,1,1,2,1,18951,2,NA,2,NA,13
1972,3,2,36,2,7,1,1,8122,2,NA,2,NA,12
1972,1,1,31,0,1,1,1,60915,1,NA,1,NA,15
1972,2,1,45,1,1,2,1,43994,3,NA,2,NA,12
1972,2,2,74,1,7,2,0,8122,3,NA,1,NA,8
1972,1,2,64,6,1,2,1,18951,2,NA,2,NA,12
1972,1,2,23,2,2,2,1,8122,1,NA,3,NA,13
1972,2,2,27,1,4,1,3,8122,1,NA,1,NA,16
1972,2,1,42,0,8,3,1,2707,3,NA,3,NA,13
1972,2,1,47,NA,1,3,0,13537,2,NA,2,NA,3
1972,2,1,26,0,4,2,1,2707,2,NA,3,NA,12
1972,2,2,34,1,7,2,0,8122,3,NA,2,NA,10
1972,1,1,52,0,1,2,0,24366,1,NA,2,NA,14
1972,2,1,24,0,3,2,1,30458,1,NA,2,NA,12
1972,1,2,36,2,7,2,1,2707,2,NA,3,NA,14
1972,2,1,25,1,4,2,0,8122,2,NA,2,NA,8
1972,3,2,46,3,7,3,0,8122,1,NA,3,NA,11
1972,1,2,54,6,7,2,0,13537,2,NA,2,NA,2
1972,2,2,27,1,7,2,1,8122,3,NA,2,NA,12
1972,2,2,20,4,7,2,0,8122,2,NA,2,NA,12
1972,2,1,53,0,1,1,0,24366,3,NA,1,NA,6
1972,2,1,47,0,3,3,0,13537,4,NA,3,NA,3
1972,2,1,70,0,5,1,0,13537,3,NA,1,NA,8
1972,2,2,69,0,7,1,0,50763,2,NA,1,NA,8
1972,1,2,49,0,1,2,0,37226,2,NA,1,NA,12
1972,2,2,29,5,2,2,3,NA,1,NA,3,NA,16
1972,2,2,48,2,7,3,1,NA,2,NA,3,NA,12
1972,2,2,67,1,5,2,0,18951,4,NA,2,NA,9
1972,2,1,22,0,6,3,1,37226,1,NA,1,NA,12
1972,2,1,75,2,5,3,0,18951,4,NA,2,NA,6
1972,2,1,38,2,1,2,1,50763,2,NA,2,NA,12
1972,1,1,46,4,1,2,1,60915,2,NA,1,NA,15
1972,1,2,63,1,7,1,0,18951,1,NA,1,NA,8
1972,1,2,34,1,7,2,0,30458,2,NA,2,NA,11
1972,2,1,57,1,1,2,0,30458,2,NA,1,NA,4
1972,2,2,22,1,1,2,1,24366,1,NA,3,NA,13
1972,1,1,46,7,1,1,0,18951,2,NA,2,NA,8
1972,1,2,73,5,7,2,0,13537,3,NA,1,NA,11
1972,2,1,73,5,5,2,1,2707,3,NA,2,NA,12
1972,2,1,53,5,1,2,1,30458,3,NA,2,NA,12
1972,1,2,84,1,7,2,1,2707,3,NA,1,NA,12
1972,1,1,27,3,1,3,1,24366,3,NA,3,NA,14
1972,2,2,69,6,5,2,0,8122,3,NA,1,NA,10
1972,1,2,82,1,7,2,0,2707,4,NA,3,NA,5
1972,2,2,67,1,5,2,3,13537,2,NA,2,NA,16
1972,2,1,41,2,1,2,1,13537,2,NA,3,NA,12
1972,1,1,72,1,3,2,0,2707,3,NA,3,NA,2
1972,1,1,38,1,1,2,0,18951,2,NA,2,NA,10
1972,1,2,59,5,1,1,1,30458,3,NA,1,NA,12
1972,2,1,42,3,1,1,1,60915,1,NA,1,NA,12
1972,1,1,48,2,1,2,1,30458,2,NA,2,NA,12
1972,1,2,59,6,1,1,0,13537,1,NA,1,NA,10
1972,1,2,39,0,7,2,0,24366,3,NA,2,NA,11
1972,2,2,49,2,7,2,1,8122,3,NA,2,NA,12
1972,1,2,33,1,7,2,1,30458,2,NA,3,NA,12
1972,2,2,53,0,1,2,0,13537,2,NA,2,NA,11
1972,2,2,30,3,7,1,1,24366,1,NA,3,NA,12
1972,1,1,25,2,1,2,1,24366,2,NA,3,NA,12
1972,1,2,36,2,1,2,0,13537,2,NA,3,NA,9
1972,2,1,30,4,1,2,1,37226,3,NA,2,NA,12
1972,2,1,28,4,1,2,0,13537,2,NA,3,NA,9
1972,2,1,52,3,1,2,0,43994,2,NA,1,NA,8
1972,1,1,44,0,1,1,0,30458,1,NA,1,NA,10
