year,cohort,age,health,sex,happy,life,educ,polviews,class,satfin
1972,1908,64,2,2,2,NA,12,NA,3,2
1972,1949,23,1,2,2,NA,13,NA,3,3
1972,1945,27,1,2,1,NA,16,NA,2,1
1972,1930,42,3,1,3,NA,13,NA,2,3
1972,1925,47,2,1,3,NA,3,NA,2,2
1972,1946,26,2,1,2,NA,12,NA,2,3
1972,1938,34,3,2,2,NA,10,NA,2,2
1972,1920,52,1,1,2,NA,14,NA,2,2
1972,1948,24,1,1,2,NA,12,NA,2,2
1972,1936,36,2,2,2,NA,14,NA,3,3
1972,1947,25,2,1,2,NA,8,NA,3,2
1972,1926,46,1,2,3,NA,11,NA,1,3
1972,1918,54,2,2,2,NA,2,NA,1,2
1972,1945,27,3,2,2,NA,12,NA,3,2
1972,1952,20,2,2,2,NA,12,NA,3,2
1972,1919,53,3,1,1,NA,6,NA,2,1
1972,1925,47,4,1,3,NA,3,NA,2,3
1972,1902,70,3,1,1,NA,8,NA,2,1
1972,1903,69,2,2,1,NA,8,NA,2,1
1972,1923,49,2,2,2,NA,12,NA,3,1
1972,1943,29,1,2,2,NA,16,NA,3,3
1972,1924,48,2,2,3,NA,12,NA,3,3
1972,1905,67,4,2,2,NA,9,NA,2,2
1972,1950,22,1,1,3,NA,12,NA,2,1
1972,1897,75,4,1,3,NA,6,NA,4,2
1972,1934,38,2,1,2,NA,12,NA,2,2
1972,1926,46,2,1,2,NA,15,NA,3,1
1972,1909,63,1,2,1,NA,8,NA,2,1
1972,1938,34,2,2,2,NA,11,NA,2,2
1972,1915,57,2,1,2,NA,4,NA,2,1
1972,1950,22,1,2,2,NA,13,NA,2,3
1972,1926,46,2,1,1,NA,8,NA,2,2
1972,1899,73,3,2,2,NA,11,NA,3,1
1972,1899,73,3,1,2,NA,12,NA,2,2
1972,1919,53,3,1,2,NA,12,NA,2,2
1972,1888,84,3,2,2,NA,12,NA,3,1
1972,1945,27,3,1,3,NA,14,NA,2,3
