S003,COUNTRY_ALPHA,COW_NUM,COW_ALPHA,S012,S001,S022,S023,X003,X001,X002,S020,A009,A008,year,year2,country_code,age,sex,cohort,health,happy
840,USA,2,USA,-4,2,199509,199512,59,1,1936,1995,1,1,1995,1995,840,59,1,1936,5,4
840,USA,2,USA,-4,2,199509,199512,25,2,1969,1995,2,1,1995,1995,840,25,2,1969,4,4
840,USA,2,USA,-4,2,199509,199512,40,1,1954,1995,2,1,1995,1995,840,40,1,1954,4,4
840,USA,2,USA,-4,2,199509,199512,43,1,1952,1995,2,3,1995,1995,840,43,1,1952,4,2
840,USA,2,USA,-4,2,199509,199512,69,2,1925,1995,4,2,1995,1995,840,69,2,1925,2,3
840,USA,2,USA,-4,2,199509,199512,48,1,1947,1995,2,2,1995,1995,840,48,1,1947,4,3
840,USA,2,USA,-4,2,199509,199512,77,2,1918,1995,2,1,1995,1995,840,77,2,1918,4,4
840,USA,2,USA,-4,2,199509,199512,65,1,1929,1995,2,1,1995,1995,840,65,1,1929,4,4
840,USA,2,USA,-4,2,199509,199512,79,1,1916,1995,3,1,1995,1995,840,79,1,1916,3,4
840,USA,2,USA,-4,2,199509,199512,81,2,1914,1995,1,1,1995,1995,840,81,2,1914,5,4
840,USA,2,USA,-4,2,199509,199512,31,1,1963,1995,3,1,1995,1995,840,31,1,1963,3,4
840,USA,2,USA,-4,2,199509,199512,32,2,1963,1995,2,3,1995,1995,840,32,2,1963,4,2
840,USA,2,USA,-4,2,199509,199512,30,2,1965,1995,2,2,1995,1995,840,30,2,1965,4,3
840,USA,2,USA,-4,2,199509,199512,30,1,1965,1995,1,2,1995,1995,840,30,1,1965,5,3
840,USA,2,USA,-4,2,199509,199512,50,2,1945,1995,1,1,1995,1995,840,50,2,1945,5,4
840,USA,2,USA,-4,2,199509,199512,39,2,1956,1995,2,2,1995,1995,840,39,2,1956,4,3
840,USA,2,USA,-4,2,199509,199512,24,2,1970,1995,1,1,1995,1995,840,24,2,1970,5,4
840,USA,2,USA,-4,2,199509,199512,55,1,1940,1995,2,1,1995,1995,840,55,1,1940,4,4
840,USA,2,USA,-4,2,199509,199512,71,2,1923,1995,2,2,1995,1995,840,71,2,1923,4,3
840,USA,2,USA,-4,2,199509,199512,38,2,1957,1995,2,2,1995,1995,840,38,2,1957,4,3
840,USA,2,USA,-4,2,199509,199512,70,2,1925,1995,2,2,1995,1995,840,70,2,1925,4,3
840,USA,2,USA,-4,2,199509,199512,23,1,1972,1995,1,1,1995,1995,840,23,1,1972,5,4
840,USA,2,USA,-4,2,199509,199512,81,2,1914,1995,1,1,1995,1995,840,81,2,1914,5,4
840,USA,2,USA,-4,2,199509,199512,44,1,1951,1995,1,2,1995,1995,840,44,1,1951,5,3
840,USA,2,USA,-4,2,199509,199512,58,1,1937,1995,2,1,1995,1995,840,58,1,1937,4,4
840,USA,2,USA,-4,2,199509,199512,41,2,1953,1995,2,1,1995,1995,840,41,2,1953,4,4
840,USA,2,USA,-4,2,199509,199512,35,2,1960,1995,2,1,1995,1995,840,35,2,1960,4,4
840,USA,2,USA,-4,2,199509,199512,55,2,1940,1995,1,1,1995,1995,840,55,2,1940,5,4
840,USA,2,USA,-4,2,199509,199512,28,2,1967,1995,1,1,1995,1995,840,28,2,1967,5,4
840,USA,2,USA,-4,2,199509,199512,26,2,1969,1995,1,1,1995,1995,840,26,2,1969,5,4
840,USA,2,USA,-4,2,199509,199512,40,1,1954,1995,2,1,1995,1995,840,40,1,1954,4,4
840,USA,2,USA,-4,2,199509,199512,64,1,1931,1995,3,2,1995,1995,840,64,1,1931,3,3
840,USA,2,USA,-4,2,199509,199512,19,1,1976,1995,2,1,1995,1995,840,19,1,1976,4,4
840,USA,2,USA,-4,2,199509,199512,46,2,1948,1995,2,2,1995,1995,840,46,2,1948,4,3
840,USA,2,USA,-4,2,199509,199512,36,2,1959,1995,2,2,1995,1995,840,36,2,1959,4,3
840,USA,2,USA,-4,2,199509,199512,18,2,1977,1995,1,1,1995,1995,840,18,2,1977,5,4
840,USA,2,USA,-4,2,199509,199512,28,1,1966,1995,1,1,1995,1995,840,28,1,1966,5,4
840,USA,2,USA,-4,2,199509,199512,40,2,1955,1995,1,1,1995,1995,840,40,2,1955,5,4
840,USA,2,USA,-4,2,199509,199512,35,1,1960,1995,2,2,1995,1995,840,35,1,1960,4,3
840,USA,2,USA,-4,2,199509,199512,56,2,1939,1995,2,1,1995,1995,840,56,2,1939,4,4
840,USA,2,USA,-4,2,199509,199512,79,1,1916,1995,3,1,1995,1995,840,79,1,1916,3,4
840,USA,2,USA,-4,2,199509,199512,73,1,1922,1995,3,1,1995,1995,840,73,1,1922,3,4
840,USA,2,USA,-4,2,199509,199512,60,2,1935,1995,3,2,1995,1995,840,60,2,1935,3,3
840,USA,2,USA,-4,2,199509,199512,40,1,1955,1995,2,2,1995,1995,840,40,1,1955,4,3
840,USA,2,USA,-4,2,199509,199512,37,1,1958,1995,2,2,1995,1995,840,37,1,1958,4,3
840,USA,2,USA,-4,2,199509,199512,39,2,1956,1995,3,1,1995,1995,840,39,2,1956,3,4
840,USA,2,USA,-4,2,199509,199512,63,2,1932,1995,1,1,1995,1995,840,63,2,1932,5,4
840,USA,2,USA,-4,2,199509,199512,73,2,1922,1995,2,2,1995,1995,840,73,2,1922,4,3
840,USA,2,USA,-4,2,199509,199512,55,1,1940,1995,1,1,1995,1995,840,55,1,1940,5,4
840,USA,2,USA,-4,2,199509,199512,42,1,1953,1995,1,3,1995,1995,840,42,1,1953,5,2
840,USA,2,USA,-4,2,199509,199512,68,2,1927,1995,1,2,1995,1995,840,68,2,1927,5,3
